"id","date","user_id","text","cluster"
48,"2024-01-09",13,"По сути КУДиР мы ведём кассовым методом но услуга должна быть оказание а товар получен. Если товар поступил до оплаты то в расход по КУДиР он пойдёт в момент его реализации. А услуги по акту но если уже оплачены . Т к авансы не учитываются в расходах. Если всё всё поставлено по оплате может быть расхождение учёта расходов по кварталам. Я бы исправила год.",2
120,"2024-01-10",57,"В продолжение темы уменьшения взносов за 2023. если у ИП нет ЭЦП есть возможность уменьшить  налог на  уплаченные взносы в 2023?",4
124,"2024-01-10",59,"ИП может отправлять любые заявления уведомления письма через ЛК Налог.ру с использованием подписи физ.лица",3
168,"2024-01-11",69,"Уведомления надо подавать о платежах уплачиваемых без декларации или до сдачи декларации или расчета. А именно: о взносах за первый и второй месяц квартала; НДФЛ; авансах по УСН; налогах на имущество транспортном и земельном; налоге на прибыль с дивидендов и с доходов нерезидентов за первый и второй месяц квартала и за декабрь.
Не надо подавать уведомления об НДС; налоге на прибыль и авансовых платежах по нему; взносах за третий месяц квартала; налоге по УСН за год; водном налоге; НДПИ; АУСН; налоге на прибыль с дивидендов и с доходов нерезидентов за март июнь и сентябрь а также о штрафах и пене.
Если нет начислений по налогу включая УСН или взносам нулевое уведомление подавать не нужно.",4
190,"2024-01-11",53,"Я бы все же учитывала затраты оплатив минимальный налог и показав убыток по году чтобы в следующем году учесть его и уменьшить налог к уплате. А вообще неверно выбрана система НО в вашем случае выгоднее было бы Доходы использовать.",0
223,"2024-01-12",49,"Вообще законодательно одно из главных условий перехода на НПД это как раз заявление об отказе от спец. Режима…. Здесь нужно либо очень хорошее ходатайство или придется соглашаться с налоговой",3
236,"2024-01-12",47,"Тогда так и пишите. Если это действительно просто вам друзья перевели за кофе/на подарок/личные нужды. 

Просто если у вас там + 1 🍋 и сняли вы его весь со счёта - это подозрительно поэтому и сделали запрос. Может вы услуги какие оказываете или торгуете и не платите налоги- вот и спрашивают. Лучше отписаться чтоб вас в рфм не подали как 'подозрительные операции '",0
239,"2024-01-12",86,"Коллеги направили уведомление об отказе применения упрощенной системы налогообложения через личный кабинет (сообщение а налоговую) пришел отказ не принимают) Как дистанционно можно его направить?",2
256,"2024-01-14",94,"Добрый день! Уведомление подаете 25-го числа по исчисленному НДФЛ с 1 по 22 число. И второе уведомление - 3 числа за налог исчисленный с 23 по 31 число предыдущего месяца. То есть в вашем случае и ЗП и аванс попадает в одно уведомление",0
259,"2024-01-15",43,"Добрый вечер коллеги подскажите пожалуйста может кто сталкивался. Нужно закрыть ооосами не можем ввиду отсутствия части учредителей решили оставить фирму чтоб налоговая сама закрыла. Долгов не было а сейчас считаю 6 НДФЛ за год и понимаю что из за переходного периода неправильно посчитала НДФЛ и оплатила на 2300 меньшем такой задолженность на ЕНС закроют фирму через год или нет?",1
283,"2024-01-16",103,"Добрый вечер коллеги. Идентификатор КС 2.02 в РСВ. Прилетело сегодня за 9 мес 2023. Я правильно понимаю что налоговой не нравится зп меньше отраслевой по региону?",2
315,"2024-01-16",59,"УСН за 2023 год можно уменьшить на фиксированные взносы:
— при УСН доходы без факта из оплаты;
— при УСН Д-Р налог уменьшают на фактически произведенные расходы т.е фиксы важно оплатить именно до 31.12.23 и + успеть подать заявление на их зачет чтобы его приняли до 31.12.23.",4
329,"2024-01-16",53,"А где вы собираетесь прошлогодний МРОТ оставить? Налоги в любом случае из текущего МРОТ рассчитываются. В фонде оплаты труда? Получите запрос от налоговой. Или о чем вы?",0
333,"2024-01-16",126,"В 2024 году). Имела ввиду что зарплата 38000.00. 16242 начисляли 30% налог. = сумма 15% налог. Данная льгота интересно осталось в 2024 году но с новым мрот",0
338,"2024-01-17",128,"Добрый вечер! Ип Доходы усн. В 3ем квартале был сотрудник
Как правильно уиеньшить налоги на страховые взносы?",4
340,"2024-01-17",7,"Вопрос не полный. 1. Оплатить взносы. 2. Уменьшить на это сумму налог усн",4
341,"2024-01-17",128,"1 и 2 квартал налог за счёт взносов на 100% модно уменьшить? А в 3ем на 50%?

Или весь год на 50% только можно уменьшить из-за появления в отчётном году работника?",4
343,"2024-01-17",27,"Вы что? НК РФ откройте налог можно уменьшить на сумму страховых взносов уплаченных но не более 50%",4
344,"2024-01-17",129,"добрый день дорогие бухгалтера!
успеха всем при сдаче отчетов!!",3
361,"2024-01-17",86,"Коллеги сотрудник является учредителем в ООО (торговля оптовая) недавно открыл ИП (консультации)

от ип хочу предоставить консультацию одной ооо работают с ндс. по факту мы выводим их ср-ва

так вот вопрос будут ли вопросы у налоговой ко мне и к учрежденному ооо. если да то насколько серьезные.

если нет то на какую сумму могу максимально выставить счет без подозрений?",3
366,"2024-01-18",136,"Коллеги подскажите пожалуйста куда жаловаться на инспектора налоговой службы? Он заставляет сдать доп отчет и уплатить годовой налог (еще и сумму сам обозначил)  без основания!",1
380,"2024-01-18",138,"У вас один налог за год. В первом втором и третьем квартале вы платите авансовые платежи годового налога. Если в течение года были работники то сумму налога (который у вас получится за год) можно уменьшить на 50%.",4
386,"2024-01-18",63,"Налоги платим во время со стороны ИФНС претензий нет",3
473,"2024-01-21",6,"Добрый вечер коллеги .
Уточню на всякий случай  ничего ли я не забыла .
ООО на ОСНО сдают  :
- персонифицированные сведения 
-рсв 
-6 НДФЛ 
- стаж и начисления (ефс)
- ндс 
- налог на прибыль 
-баланс 
- подтверждение вида деятельности",2
488,"2024-01-22",25,"Ну если через ""как услуги"" - может все таки 19.04 ?",2
500,"2024-01-23",174,"Добрый вечер. Подскажите пожалуйста Делаю сотрудникам по организации компенсацию за спорт услуги могу ли к расчету принять справку о стоимости услуг вместо чеков.",2
516,"2024-01-23",36,"рекомендую не игнорировать такие вызовы и идти со специалистом. При юристе/налоговом консультанте давить меньше будут все будет под контролем и Вы сами можете узнать больше чем расскажете (что про Вас знает налоговая какие у них есть/могут быть претензии чего вообще хотят)",0
533,"2024-01-24",188,"Добрый вечер если есть налог на имущество рассчитываемый по среднегодовой стоимости то сдается декларация по налогу на имущество.",0
544,"2024-01-24",193,"Через сервис на налог ру с кэп зарегистрироваться там надо",1
546,"2024-01-24",69,"Прежде всего как следует из Концепции данными критериями руководствуются сами налоговики для выборки налогоплательщиков на выездную проверку.                                                                                                                                                                                                      При   оценке  рисков   установлены  факты недостаточных
документальных  свидетельств  должной осмотрительности при выборе некоторых
контрагентов   по   ряду   сделок  осуществленных  вашей  организацией  за
налоговый период.
              Один из критериев. параметры высокого налогового риска связаны с взаимодействием с недобросовестными компаниями. Вопросы получения налоговой выгоды при взаимодействии с контрагентами
               Будут предлагать уточниться по НДС прибыли за прошлые периоды.                                                                                                                     Можно не ходить при желании!!!!!!!",2
548,"2024-01-24",8,"В какое уведомление должен попасть транспортный налог за 2023?🙈",0
563,"2024-01-24",78,"Если вы сдаете за другого ИП а не за себя то нужна будет нотариальная доверенность в налоговой. Поэтому в этом случае проще всего по почте желательно с описью",0
572,"2024-01-24",85,"Смотря где оказываются услуги. На территории России НДС 0%.",2
615,"2024-01-25",34,"тогда это может быть обычное округление так как с 01.01.2014 расчет налогов осуществляется в полных рублях по следующим правилам – сумма менее 50 копеек отбрасывается а сумма 50 копеек и более округляется до полного рубля (п. 6 ст. 52 НК РФ).

В 1С данное требование реализовано регламентными операциями «Расчет налога на прибыль» и «Закрытие счетов 9091» при закрытии месяца следующим образом:

- при выполнении регламентной операции «Расчет налога на прибыль» налог на прибыль исчисляется в полных рублях а остаток от округления переносится на счет 99.09 «Прочие прибыли и убытки».

- при выполнении регламентной операции «Закрытие счетов 9091» сальдо счета 68.02 «НДС» корректируется до целых рублей а остаток списывается на счет 99.09 «Прочие прибыли и убытки».

2. Увидеть формирование проводки 99.09 по указанным регламентным операциям можно соответственно в марте июне сентябре декабре отчетного года поскольку отчетность сдается ежеквартально.",2
617,"2024-01-25",158,"Добрый день. Если Индивидуальный предприниматель ушёл на СВО то налоги по ИП не надо оплачивать?",1
634,"2024-01-25",215,"Здравствуйте подскажите пожалуйста. 
Приобретаем у физ лица комплектующие  на вроде маршрутизатора системного блока т.е отдельные части будущего основного средства общей стоимостью около 5 млн. Оплачиваем частями актами принимаем частями.я по не знанию приняла к учёту и в расход попало в налог на прибыль. Вопрос. Как правильно оформить это. 
Получается что в налог на прибыль суммы оплаченные попали. Но сейчас эти компоненты ни где не значатся. Если принять на сч 10 потом на 01 и собрать ос когда выкупим все то не понятно что делать с налогом на прибыль. Какая то ерунда у меня. Спасибо.",2
638,"2024-01-26",85,"Налог на прибыль попадёт через амортизацию.",1
639,"2024-01-26",215,"А я уже учла и налог уменьшила.😭",0
647,"2024-01-26",67,"Коллеги добрый день. Подскажите пожалуйста возможно ли продление сертификата электронной подписи через ЛК ФНС без посещения налоговой?",1
660,"2024-01-26",219,"Даесли есть на что уменьшить то налог равен 0 ( в рамках этой сделки)  а так можно еще личные (социальные) вычеты применить и получить вычет из бюджета.  Всегда ведь есть на что уменьшить (обучение лечение спорт и т.д.)",4
692,"2024-01-26",48,"К тому же не каждый бизнес может позволить себе бухгалтера в штате.",1
755,"2024-01-29",22,"Добрый день ИП (УСН «доходы « платил за услуги  но платеж не прошел и получил возврат платежа на свой расчетный счет . Считается ли это доходом? И  облагать ли его налогом? Спасибо",3
769,"2024-01-30",247,"Коллеги добрый вечер! Подскажите при смене юр адреса налоговую тоже лучше поменять ? Была областная Ростов на Дону  теперь Юр адрес в Москве или не имеет значения ?",2
770,"2024-01-30",53,"Что значит ""лучше поменять налоговую""? 👀👀 У нас вроде нет опции Выбор налоговой из ассортимента. Принадлежность к той или иной налоговой определяется по юрадресу поэтому вам никак не удастся сохранить ростовскую ИФНС.",1
802,"2024-01-30",158,"Добрый вечер. Подскажите пожалуйста а налоговая принимает 3 НДФЛ на бумажном носители отправлинная через Почту России?",1
806,"2024-01-31",257,"Налог по УСН и ПСН можно уменьшить на взносы которые подлежат оплате за этот же период даже если срок оплаты взносов перенесен на следующий год.
Например срок уплаты страховых взносов за 2023 год переносится на январь 2024 года так как 31 декабря выпадает на выходной день. И даже если ИП фактически оплатит взносы в январе 2024 года налог по ним он сможет уменьшить только за 2023 год.
1% свыше 300 тыс. руб. можно уменьшить 2023 год",4
809,"2024-01-31",10,"Здравствуйте. подскажите пожалуйста ооо на усн подаёт уведомление  о выборе налоговой для предоставления декларации?",1
819,"2024-01-31",261,"Добрый день  Работаю в компании Бухгалтером сейчас перевожусь на должность главного бухгалтера без права подпись банковских документов 

Подскажите  как налоговую уведомить и оформить документально?",2
820,"2024-01-31",262,"В налоговую ничего в таком случае не надо",1
824,"2024-01-31",186,"Как понять ""без каких либо затрат""? Вы про налоги ?",0
830,"2024-01-31",53,"Доплатить и сдать корректировку. Либо известить налоговую о невозможности удержать налог.",0
